audio_filename,start_time,end_time,transcription
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,93.317,96.66,نلقى روحي من أقصى الجنوب في المرسى
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,96.66,99.635,من مدنين نلقى روحي في المرسى ليس عيب
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,101.304,104.271,ولكن العيب أنو إم ما تتقبلش ماللول
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,104.271,106.839,عنا مشكلة كبيرة برشا في البلاد راهو
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,106.839,116.307,ماثماش عنصرية ماثماش جهويات ثمة العنصرية وثمة الجهويات حتى لو كان مخبية في القاع موجودة موجودة عاللخر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,116.307,119.343, أول سؤال يتسئل كان في تونس إنت منين
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,120.524,121.783,يا ودي آنا من تونس
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,121.783,125.995,أي أي يعاود لك منين من تونس مهم ياسر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,125.995,128.214,فهمتني هذايا تقريبا ما شفتوش في العالم
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,129.196,134.878,كنت آ آ ممت متميز جدا في الدراسة متميز جدا في الدراسة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,134.878,143.419,وماكنتش متميز جدا وماكنتش أ عندي الحلمة أنني نكون طبيب كيما الأطفال ولا محامي ولا قاضي كي ال standard
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,143.419,146.918,نتذكر ك كانوا كي يسئلوني آش تحب تطلع نقول لهم ما نعرش
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,148.469,150.763,معنتها الل الحلمة كانت flou شوية
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,150.763,152.273,فنلقى روحي في المرسى
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,153.264,156.343,أ وسط آ بيئة أخرى ثقافة أخرى
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,156.343,162.255, أول مرة عمري ثمانية سنوات أول مرة في حياتي عمري ثمانية سنوات أرى البحر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,164.604,165.37,أ حدث
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,166.408,179.333,تاريخي بالنسبة ليا آنا في حياتي أول مرة إنشوف حاجة فيها ماء مسيبة نسمع عليها شفتها في تصاور أما أنني إنشوفها وإنمارسها وغطست وغرقت آنا وأختي وخالتي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,181.206,187.441,ربي يسامحها خالتي فهمتني وللا هي اللي غرقتنا مشكورة لو كان تو تتفرج فينا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,187.441,189.271,فهمتني آ إف
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,189.271,193.44,أ ت يعني كنت آنا في الوسط كنت قصير ولا أزال كنت في الوسط
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,193.995,198.99,كانت أختي على يميني وخالتي على يساري هوما الزوز اللي غرقوا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,198.99,201.036,فكانوا يتراتحوا عليا آنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,202.741,204.45,أي نعم كانوا يتراتحوا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,204.45,211.719,و ففي المرسى السنة رابعة إبتدائي خذيت جايزة يوم العلم تسعتعش فاصل ثنين وخمسين معدل
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,211.719,220.41,وخذيت الجايزة متاع يوم العلم على تونس الكل آ مالزعيم الراحل الحبيب بورقيبة هذاكا زادا كان حدث بالنسبة ليا آنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,220.41,227.752,وكنت ديما إن آ ديما إن أ ديما إنعوض في القراية كنت منزوي عاللخر حشام عاللخر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,227.752,233.643,وكنت آ إم باش ما نقولش نكذب أما كنت آ عندي خيال برشا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,233.643,242.391,معنتها إنجم إنجي نحكي حكاية نقول آ عرضني جريندايزر تو فهمتني وللا وشفت soucoupe volante ودرا شنوا فهمتني معنتها كان عندي خيال خصب عاللخر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,242.936,245.207,وكليت من أجل ذلك الخيال برشا ضرب
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,246.812,252.528,أي إمبعد إكتشفت اللي هو هذاكا نورمالمون إم ما تتضربش عليه إتطوره أو توجهه
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,252.528,255.074,تقول له راو مش كذب ما تجيش لولدك تقول له راو كذب
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,255.074,258.7799375,هاني إنسايس في روحي تو آنا مع ولدي ولدي نفس الثنية زادا طالع لبوه
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,259.541,260.134,فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,260.969,266.05,donc آ إم معنتها آ أ خذيت السيزيام ولهنا كان المنعرج
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,266.05,272.299,كي خذيت السيزيام مشيت قريت في قرطاج الرئاسة carthage الرئاسة هذا المعهد يحتوي على زوز طبقات
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,273.437,279.774,طبقة ثرية جدا جدا جدا جدا وطبقة فقيرة جدا اللي منهم آنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,280.955,306.826,فماكانش ثمة طريقة أخرى إلا الل الضحك واللا إم والتنكيت و و والتهميش الوضعية الكل معنتها تولي ت تولي تضحك كي تشوف نعطيك مثال يعني أ ك أ وكنا سعداء جدا أحنا الوحيدين الفقراء وقتها فهمتني اللي أ آ إم إم أ ظاهرين أنو شرينا حوايج العيد أه في العيد الصغير
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,307.723,315.997,خاطر لخرين ديما عيد خويا ديما لبسة ديما لبسة ديما لبسة أحنا إن في العيد الصغير ونتذكر مرة يعني آ آنا عندي الوالدة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,317.129,322.292,آ الوالدة بالنسبة ليا آنا هي ال repaire و l'axe اللي في حياتي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,322.292,328.858,أمي هي l'axe في حياتي لأنو أمي وقت اللي كان آ ب بابا غايب والجملة هاذي يلزمكم تسمعوها
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,330.925,332.608,والحال شتاء تجي تقول
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,333.693,336.433,الليلة حلها لبلابي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,339.375,346.432,أ هي اللا هي الطريقة اللي تقول بيها أمي الليلة حلها لبلابي تقنعك اللي بالمن جد الليلة حلها لبلابي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,347.454,351.24,و وهي قالت أكاكا لأنو ماعنا كان الخبز والحمص أحنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,352.421,358.417,أما إنت تقتنع تقول لا حتى لو كان ثمة الكافيار والسومون الليلة حلها لبلابي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,358.417,365.854,قلت الإشكال في معهد carthage أ يعني كان س ثمة زوز طبقات وقتها ترهوجت آنا ضعت في القراية
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,365.854,369.025,ودخلت في فترة مراهقة عجيبة غريبة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,369.025,372.228,بابا كان موظف في الديوانة التونسية بالخارج
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,372.228,375.636,فهمتني ناب عليه ربي بدويرة سنيد في المحمدية
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,375.636,385.417,donc مالمرسى كنا مطالبين كنا كاريين أنو نمشيوا للمحمدية فالمراهقة أيضا تركتها أ غادي في اللا في المرسى
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,385.417,392.474,ووليت مطالب بش إنأسس علاقات أخرى معنتها أ مراهقة أخرى قصص حب أخرى فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,392.474,399.414,مشيت ل lycée المحمدية الحق آ cinquième année secondaire آ ماللي دخلت آ دوبلت
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,401.06,405.018,وإنجحت لل sixième année secondaire آ وعامتها زادا دوبلت
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,405.018,406.011,فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,406.011,409.583,ودوبلت أربعة سنوات في الباكالوريا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,411.174,417.629,أربعة سنوات في الباكالوريا لأنو وقتها أ دخلت للمسرح وكنت فاهم بالغالط المسرح
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,417.629,422.525,دخلت للمسرح كنت نتصوره هو البديل عن الدراسة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,422.525,432.3,donc مشيت قريت آ في المع آ ف أم آ الل الباك عديت العام لول كيما قتلك آ دوبلت يظهر لي بستة معدل العام الثاني آنا آداب
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,433.306,441.651,عام الثاني سبعة ونص رغم اللي آ إم كنت متميز في الفلسفة والعربية فهمتني وكنت ضعيف جدا في الإنجليزية لدرجة لا توصف
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,441.651,445.949,معنتها مهزلة فهمتني في الفرنسية أيضا ولا أزال فهمت
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,445.949,451.533,يعني لا والله توا أ والله العظيم العام الرابع قريت في معهد إسمه النجاح
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,454.726,458.448,معهد إسمه النجاح وحق ربي ثمانية سنين لا نجح فيه واحد
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,459.402,465.294,حكك بيرة مطيشة و فهمتني كلام بذيء على الجدران فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,465.294,468.012,معنتها آ مسائل م مرعبة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,468.61,469.325,فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,469.325,479.763,السبورة مرة طاحت على بروف l'anglais معنتها how are you قال how are you how are you تقول له إسم الله على راسه خويا قعد غادي يعني وضعية فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,479.763,482.428,إمبعد مشيت نقرى في المعهد العال للفن المسرحي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,482.428,489.186,كي دخلت للمعهد العالي للفن المسرحي آنا قبلها عملت يعني مسرح في دور الثقافة في دار الثقافة المحمدية
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,489.186,492.705,وقبلها قبلها إب شنحكي لكم على أهم تجربة ممكن في حياتي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,493.736,495.455,عملت clown مهرج
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,495.455,499.32,عملت أربعتعشن سنة مهرج الشخصية إسمها شهلول
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,499.32,508.164,ومعايا صديقي نصيب أذايا إسمه دلول شهلول ودلول كنا يعني في المقاهي و والحانات وأعياد الميلاد فهمتني متاع الأثرياء
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,508.164,509.68,وبش نحكي لكم زادا قصة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,509.68,516.071,مرة كلمتني مرا ألو قتلي عالسلامة سي جعفر قتلها أييه قتلي سي جعفر بربي شتعمل لي عيد ميلاد ولدي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,517.3139375,519.1989375,قتلها أي مدام فالسين نحنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,519.1989375,521.217,بقداش قتلها آ م ميتين
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,521.217,527.943,قتلي لا برشا عشرين قتلها مدام تي تي هاتي حتى عشرة آلاف بعدها والله راهو جو موش نورمال
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,527.943,531.966,مشينا أخويا ما أمسطها من عائلة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,531.966,536.553,عمري ما ريت الساعة ماللي دخلنا قتلي أيا بدل وضحكونا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,538.214,539.773,وإنت يعلم بيك كان لي خلقك
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,539.773,546.046,قتلها مدام هاه تو إنبدلوا قتلي لا يلزمك تضحكونا قتلي أسمع ولدي  راهو صعيب شوي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,546.046,547.157,هو ولدها
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,548.818,552.625,أ هو ولدها هو آ هو تو وكان إنراه نحصروا آنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,552.625,557.995,dans le temps dans le temps ولدها يعلب بال l'ordinateur dans le temps
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,557.995,562.765,نقزت تصور آنا clown وعامل faux nez وإمكيج عملت واي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,562.765,565.107,عمل لي هكا ممسطه يا ماما
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,566.224,569.305,تعرف شمعنتها لينا ممسطه يا ماما معنتها مش شيخلصونا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,570.181,577.49,معايا صاحبي أذايا سنقور قتله يا ودي يلزمه يضحك شنيا م ممسطه يا ماما واي عمل واي وي ما تحركش جملا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,577.49,583.08,واي قتله واي قتله خلي تدخل أمه للكوجينة تو إنضحكوه بالسيف أحنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,583.08,585.322,أمه دخلت جبدته آنا قتله إسمعني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,586.603,589.745,وحق ربي قتله ما تضحكش إمبعد إن
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,589.745,594.396,ماهي يعمل لي ماهي تو نضحك إف كي ل والله والله يعمل لي أتاو ن
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,594.396,595.95,سمعتني قتله
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,595.95,598.652,أمه جات وكذا بدينا نعملوا واي واي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,598.652,604.53,يعملها يا ماما ما حبيتوش أذايا ما إنحبوش يخوف عليا آنا يخوف وآنا ماني قصير ونعمل أكا يخوف يخوف
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,604.53,607.285,ثمة مرا كبيرة قاعدة كيما إم الباب أذاكا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,608.331,609.448,أ مشيت آنا عملت لها
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,612.091,617.083,تي فازة هكا ما ونا نسمع فيها تعمل آهاهاها
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,617.083,621.563,قتله آو بش نخلصوا هاي تضحك هاي تضحك هاي تضحك آهاه آنا نسخايبها تضحك
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,621.563,625.231,المرا مريضة في حالة وتكح فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,625.925,628.953,وشعرة لا ماتت آهاهاه
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,628.953,635.365,حاصيلو للا م للأمانة المرا ما خلصتناش يرحم والديها في هالليلة فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,635.365,647.389,إمش أ بعد الل التجربة هذيا مشيت دخلت للمعهد العالي للفن المسرحي قريت آ أربعة سنوات آ دوبلت زادا عام في وسط المعهد العالي للفن المسرحي اللي آنا حاجة إنحبها عاللخر وبش نحكي لكم قصة رسوبي في المعهد
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,647.389,654.356,دوبلت في المعهد وقت اللي ترشحت لجايزة أحسن ممثل في مهرجان المسرح التجريبي بالقاهرة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,656.193,660.481,كي روحت في فن الممثل خذيت ثنين على عشرين في تونس
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,661.672,663.071, الله شي يضح
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,663.071,670.438,وآنا متوج وسط ثنين وأربعين دولة وترشحت مع سامي العدل الله يرحمه وينعمه لجايزة أحسن ممثل
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,670.438,674.811,donc فهمت اللي كونه اللي تقراه شي واللي تمارسه شي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,674.811,683.203,تنجم تكون في القسم ماعندك حتى علاقة أكادميا نحكيوا أ تنجم وتنجم تكون في الدنيا ممثل وعندك طاقات وكذا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,683.203,689.44,فإم عملت برشا تجارب تلفزة آ م آ أم مسلسلات آ برامج تلفزية
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,689.44,698.573,عملت آ إم أول وان مان شو إسمه واحد مننا مسرحية هاذي إخراج منير العرقي إنتاج واب آر ونص أ محسن نفيسة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,698.573,701.306,وعملت تجارب في الإخراج فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,701.306,708.519,والأرتح بالنسبة ليا آنا هو كان الآ كان الإخراج وإلى حد هاته اللحظة آ كان الإخراج
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,708.519,714.658,ولكن آ كنت إنعيش آ إم أ مم مسائل معتها آ دقيقة جدا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,714.658,717.338,كنت أتأرجح بين العهر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,718.444,719.063,والشرف
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,722.288,727.184,معنتها في بعض اللحظات آ الإنسان آ مارس العهر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,728.198,728.871,الفني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,730.392,732.544,من أجل لحظة شريفة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,733.868,737.007,ساعات تلقى روحك تخدم في حاجة ماكش مقتنع بيها بالكل
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,738.064,758.269,أما الظرف هو لي لزك باش تكون في اللحظة هذيكا آ من أجل لحظة شريفة اللي آنا إن إنسميها وقت اللي نعمل richard trois وإلا حقايب le projet هذايا باش حتى حد ما ينجم يصنصرك ولا حتى حد ما ينجم يقمعك ولا حتى حد ما ينجم يسيطر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,758.269,763.639,إنت تسيطر تبدا إنت مستقل ماديا وقتها تنجم آ تنجم تبدع
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,763.639,768.663,الشهرة آ كيما ح آ إم حاجة باهية الشهرة دمار شامل
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,770.062,771.219,كل شي amplifié
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,772.443,774.062,كل شي مفخخ
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,774.062,778.922,نحكي لكم قصة مرة آ قعدت ساهر آنا آنا نشرب
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,780.891,785.815,وسهرت إ مع أصدقاء أصدقاء مقربين جدا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,787.075,787.871,صوروني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,789.313,791.732,فيديو أصدقاء أ مال domaine
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,792.746,793.782,مال domaine
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,793.782,795.915,فهمت الإشكال شنو هو
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,795.915,800.295,صوروني فيديو وهبطوني هاو في قاعد وهاو يعمل وهاو كذا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,800.295,807.209,في الأثناء كنت إنخمم زادا كيفاش إنجم إنعاون خاطر آنا يعاونوني برشا ناس برشا عاونوني برشا ناس
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,807.209,818.458,عملت الل راديو في راديو إي أف أم الراديو هذا كان الراديو التاسع في تونس اليوم هو الراديو رقم ثنين على مستوى نسب الإستماع تونس الكبرى
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,818.458,829.663,وبرنامج فز تسمع العز اللي هو السنا آ خمسة سنين هو البرنامج الأول على مستوى نسب الإستماع أ في تونس الل الكبرى نهارة الاثنين بش إنوليوا كامل تراب الجمهورية فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,829.663,836.598,آ عملت آ إم برنامج إسمه يد واحدة ومن وقتها زادا حياتي تبدلت
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,836.598,841.806,إكتشفت برشا حاجات وبش نعطيكم توا معلومة بش تروحوا طايرين إم مانيش بش إنطول برشا
